Name,Link,Default Branch,SHA,Stargazers Count,Forks Count,Date
zaaach/CityPicker,https://github.com/zaaach/CityPicker,master,1fb325bb0e978f2a88a3af7c6a39a785bf69e9a0,3105,583,29/03/2024 13:46:46
tyrantgit/ExplosionField,https://github.com/tyrantgit/ExplosionField,master,3122cb6c5783218f1a08787e6a6241e6e745695f,3598,584,29/03/2024 13:46:46
alura-challenges/challenge-one-alura-hotel-latam,https://github.com/alura-challenges/challenge-one-alura-hotel-latam,repositorio-base,903354917d159a8dda9b562507431e0ec2ac4a35,347,584,29/03/2024 13:46:46
springframeworkguru/mssc-brewery-client,https://github.com/springframeworkguru/mssc-brewery-client,master,65d97815f20cb1d4e4fd74d4ea802e0dc30ef12d,35,585,29/03/2024 13:46:44
douglascraigschmidt/POSA-15,https://github.com/douglascraigschmidt/POSA-15,master,67b9b210cf6d54a140ffbf95abbeb689c04e13da,182,585,29/03/2024 13:46:46
googlearchive/android-play-places,https://github.com/googlearchive/android-play-places,master,8a19a5a7097d805643b508476b6439b8028329ac,478,585,29/03/2024 13:46:46
romainguy/ViewServer,https://github.com/romainguy/ViewServer,master,269059b4e7377b8861e20444502f6adada0d0943,2498,585,29/03/2024 13:46:46
sublimehq/Packages,https://github.com/sublimehq/Packages,master,cddd61f410259655996bcfcab30c80abf83d2803,2932,585,29/03/2024 13:46:46
hugeterry/CoordinatorTabLayout,https://github.com/hugeterry/CoordinatorTabLayout,master,c565332bcf9479dace0e0697973722c7f2c78c0f,4192,585,29/03/2024 13:46:46
krahets/LeetCode-Book,https://github.com/krahets/LeetCode-Book,main,af01eae09e4ca78ebca324071c2e707d33c3d0b2,4454,585,29/03/2024 13:46:46
mate-academy/jv-spring-web,https://github.com/mate-academy/jv-spring-web,master,7bbc9df816680feb415ccec27fd3e4a1aeda3d5a,0,586,29/03/2024 13:46:46
4thline/cling,https://github.com/4thline/cling,master,0ca10d5e73bdc8062eeffad57d67dd8ee260379c,1678,586,29/03/2024 13:46:46
Diolor/Swipecards,https://github.com/Diolor/Swipecards,master,a6fdfaa60fadd56fd5eb8acb2ff8922d2dd4d257,2326,587,29/03/2024 13:46:46
googlearchive/android-BluetoothLeGatt,https://github.com/googlearchive/android-BluetoothLeGatt,master,1f0e90a95eda39c8b40bae5a34e7e82ecfba8f48,916,587,29/03/2024 13:46:46
koddas/war-web-project,https://github.com/koddas/war-web-project,master,ffed0932546fc229b073862dc5945c7d63cebfce,5,587,29/03/2024 13:46:46
mylandmarktechs/maven-web-apps,https://github.com/mylandmarktechs/maven-web-apps,master,48528bfec2dee32d95ef6ee1f0ba22224d57ef50,5,589,29/03/2024 13:46:46
hazelcast/hazelcast-code-samples,https://github.com/hazelcast/hazelcast-code-samples,master,db2a8c513e77538ca9b68c8cacc21ef1e2aa4daf,543,590,29/03/2024 13:46:46
xuchengsheng/spring-reading,https://github.com/xuchengsheng/spring-reading,master,421a38ab2f15fa5f07c6ce53b09ee95ba2465e73,4633,590,29/03/2024 13:46:46
mjc-school/stage0-module3-taskFinal,https://github.com/mjc-school/stage0-module3-taskFinal,main,95d8f82b0156786bcccf3f2c10ec816a4dedf731,1,597,29/03/2024 13:46:46
gouthamchilakala/PetClinic,https://github.com/gouthamchilakala/PetClinic,master,6f7bb2f739b93ecca667a25f88177bdab87a178d,6,599,29/03/2024 13:46:46
leechenxiang/imooc-springboot-starter,https://github.com/leechenxiang/imooc-springboot-starter,master,1df27d8b39a464a1df4dc5c7b26ed03468f465ff,835,611,29/03/2024 13:44:34
apache/eventmesh,https://github.com/apache/eventmesh,master,172804a340a9649722901bc910fea48aa2a14cbc,1532,611,29/03/2024 13:44:34
connectbot/connectbot,https://github.com/connectbot/connectbot,main,f58619ec62422d9839d53176eb3ed84f28e636ee,2334,613,29/03/2024 13:44:34
RipMeApp/ripme,https://github.com/RipMeApp/ripme,master,4aec4634a86cec6e75cd4fdf0658d58baef8d009,3611,614,29/03/2024 13:46:43
sivaprasadreddy/spring-boot-microservices-series,https://github.com/sivaprasadreddy/spring-boot-microservices-series,master,22a26a17d1a1f91f70e79f2b1cde334ac207be8b,605,615,29/03/2024 13:44:34
chat-sdk/chat-sdk-android,https://github.com/chat-sdk/chat-sdk-android,master,0fb1a17494128e05a0fa14ca62c2b07bb9111f6d,1602,615,29/03/2024 13:44:34
rubensousa/ViewPagerCards,https://github.com/rubensousa/ViewPagerCards,master,75d8004b8dfcf34f17629f73a0c0c116bb487bce,4065,615,29/03/2024 13:46:43
shuleisanshi/myblog,https://github.com/shuleisanshi/myblog,master,f337b7bded4bdc343227a467873e5cfdafac39c4,1275,615,29/03/2024 13:46:43
ctripcorp/C-OCR,https://github.com/ctripcorp/C-OCR,master,345ec57c9e0afaf2fab903f90cadbc5376a8ad74,2347,616,29/03/2024 13:46:43
mjc-school/stage0-master-task,https://github.com/mjc-school/stage0-master-task,master,c3768dfbe05986708bdf59a00edaffe1a985651e,0,616,29/03/2024 13:46:46
ElderDrivers/EdXposed,https://github.com/ElderDrivers/EdXposed,master,8f2308cdde0a8151a2b4b0151c58b203154a8c6f,5272,617,29/03/2024 13:44:34
MiguelCatalan/MaterialSearchView,https://github.com/MiguelCatalan/MaterialSearchView,develop,53e163c90da5d25b0d88aa182f91027487bee043,3826,617,29/03/2024 13:46:43
AmarMicroDev/Mcommerce-partie1,https://github.com/AmarMicroDev/Mcommerce-partie1,master,9bcbf0922a31f83f2e792700a2d85dc727dc19f4,5,618,29/03/2024 13:44:34
reactor/reactor-netty,https://github.com/reactor/reactor-netty,main,2c892a36fd7865f1cbf24d5da28c164900433c15,2495,620,29/03/2024 13:46:43
rbmonster/learning-note,https://github.com/rbmonster/learning-note,master,c16117e59d8b4fdc9fd8a2d891c6c51c7eba8917,3090,620,29/03/2024 13:46:43
alibaba/freeline,https://github.com/alibaba/freeline,master,818e5de64f630a4c506499d7208b761061cb9d1f,5488,622,29/03/2024 13:46:43
floodlight/floodlight,https://github.com/floodlight/floodlight,master,71fe8a7e72096eb0fd96c1d814a04e3b7b782830,738,623,29/03/2024 13:46:43
spinnaker/kayenta,https://github.com/spinnaker/kayenta,master,22b1bf154024d9ae5ebfd9bf2d90648813a3d662,1265,624,29/03/2024 13:46:43
aws-samples/amazon-codeguru-reviewer-sample-app,https://github.com/aws-samples/amazon-codeguru-reviewer-sample-app,master,630140e2e38c5593025d07e1e4ce03a407859af5,28,624,29/03/2024 13:46:43
rubensousa/GravitySnapHelper,https://github.com/rubensousa/GravitySnapHelper,master,5336f036ff0b05fb1f80d555dabd6a85fca11586,4987,626,29/03/2024 13:44:34
aserbao/AndroidCamera,https://github.com/aserbao/AndroidCamera,master,5b8dfd5758596019a8dba96d24672db5acc67f5d,2865,626,29/03/2024 13:44:34
Frank-Zhu/PullZoomView,https://github.com/Frank-Zhu/PullZoomView,master,fed1339e86937d20ffba95f12b371aa459c7e3d9,2325,626,29/03/2024 13:46:38
mjc-school/stage0-module3-task5,https://github.com/mjc-school/stage0-module3-task5,main,e9bcc183738a37c3c4f18165dde20613f60b75a7,0,627,29/03/2024 13:44:34
halfkiss/ZjDroid,https://github.com/halfkiss/ZjDroid,master,6f680d6d97e94c2c86f641d9015f8befb3a7ce68,994,628,29/03/2024 13:46:43
fabric8io/docker-maven-plugin,https://github.com/fabric8io/docker-maven-plugin,master,fc53963fc57c466dc10757ac98d2009927f6ef15,1830,629,29/03/2024 13:46:43
aws-samples/aws-big-data-blog,https://github.com/aws-samples/aws-big-data-blog,master,493d2752ae079745266a1017e21fee501f76d99d,897,630,29/03/2024 13:44:34
mate-academy/jv-web-security,https://github.com/mate-academy/jv-web-security,master,853a0657d3564d2756bfd78013661504bb240d6f,1,630,29/03/2024 13:44:34
mcxtzhang/SwipeDelMenuLayout,https://github.com/mcxtzhang/SwipeDelMenuLayout,master,8d3cae22899d7f361bc1482d4fdd8b06f8c5cdec,3660,630,29/03/2024 13:44:34
lenve/javaboy-code-samples,https://github.com/lenve/javaboy-code-samples,master,5e7af1d93a4acc6c50c2ca5ec1e80ee9da42d057,1346,630,29/03/2024 13:44:34
apache/jena,https://github.com/apache/jena,main,6096779cdbcd644efdb8fcb966fa327da01bfdbd,1047,631,29/03/2024 13:46:38
Sonal0409/DevOpsCodeDemo,https://github.com/Sonal0409/DevOpsCodeDemo,master,cc599387b5d715b46b80f64b16eaba85b0639bec,12,632,29/03/2024 13:44:34
sourcey/materiallogindemo,https://github.com/sourcey/materiallogindemo,master,6c600ae1c7bb5b6d003a3c8a9d1562e9df413aa7,833,633,29/03/2024 13:46:38
spinnaker/front50,https://github.com/spinnaker/front50,master,e5c739cb176a924183689ad139061ce7e2e12c66,59,634,29/03/2024 13:46:38
confluentinc/kafka-rest,https://github.com/confluentinc/kafka-rest,master,c33e9cf37150b157fc831e2cc7c74d789738faee,2208,634,29/03/2024 13:46:38
luckybilly/CC,https://github.com/luckybilly/CC,master,368b8dd029b997ee5a36fc3c6e2b51d4fd82021b,4031,635,29/03/2024 13:44:34
